Case Name,Number of Stereotypes
1992_U_81,205
2023_906_INSC,115
2008_U_49,94
2017_U_4,80
2017_U_43,50
1985_K_7,47
2020_595_INSC,46
2021_271_INSC,44
2014_U_57,42
2017_M_2,40
1988_S_265,38
2013_S_394,37
2015_S_548,35
2021_254_INSC,34
1996_U_195,33
2020_611_INSC,31
2020_187_INSC,31
1985_S_203,30
1981_N_14,29
2023_798_INSC,29
2022_950_INSC,29
2023_314_INSC,28
2019_563_INSC,28
1999_N_16,28
2006_P_32,25
2013_V_7,25
2023_965_INSC,25
2017_V_46,25
2019_46_INSC,24
2020_289_INSC,24
2014_C_31,22
1982_H_13,22
1975_N_4,22
2013_D_1,20
1980_K_5,20
2003_Y_6,20
2010_N_34,20
2016_S_212,19
1993_O_17,18
2021_160_INSC,18
1963_M_27,18
1964_S_170,18
2024_352_INSC,17
2022_449_INSC,17
2024_541_INSC,17
2020_580_INSC,17
1984_S_137,17
1977_S_24,17
2019_903_INSC,17
2016_K_82,17
2011_D_48,17
1996_M_127,16
2024_486_INSC,15
2020_651_INSC,14
1956_B_14,14
1985_S_32,14
2023_51_INSC,14
1985_L_10,14
2017_Z_1,13
1973_J_2,12
2014_D_62,12
2024_524_INSC,12
2019_619_INSC,12
2022_536_INSC,12
2012_U_2,12
2013_R_12,11
2008_S_1340,11
1990_S_246,11
1991_T_18,11
2000_F_15,11
2013_U_22,11
2018_U_25,11
1996_C_96,11
2020_680_INSC,11
2011_D_44,11
2010_K_30,11
1996_T_58,11
2017_V_69,10
1993_V_1,10
2023_904_INSC,10
2020_418_INSC,10
2020_52_INSC,9
2012_S_46,9
1987_M_33,9
2010_D_31,9
2012_S_184,9
2013_G_51,9
1997_S_332,9
2021_3_INSC,9
1996_S_1166,9
1994_J_42,9
2001_B_23,9
2020_525_INSC,9
1993_S_275,9
2019_987_INSC,8
2012_S_138,8
2022_193_INSC,8
2016_V_69,8
1997_P_4,8
2006_C_230,8
2022_802_INSC,8
2017_E_23,8
2013_S_337,8
2015_S_103,8
1983_S_87,8
1999_U_149,8
1955_R_9,8
2011_S_413,7
1966_S_126,7
1994_U_130,7
2015_K_54,7
2014_C_41,7
2020_419_INSC,7
2022_963_INSC,7
2007_H_65,7
2017_P_117,7
2014_M_75,7
1981_H_2,7
2001_A_80,7
2022_612_INSC,7
2022_715_INSC,6
1967_N_6,6
2013_K_6,6
2008_M_196,6
1964_V_10,6
2005_J_18,6
2015_V_20,6
2005_S_817,6
2024_332_INSC,6
1993_S_288,6
2005_S_396,6
1998_S_496,6
2010_S_313,6
2022_218_INSC,5
1995_P_19,5
1965_B_38,5
2016_S_51,5
2005_M_301,5
2016_S_149,5
1979_S_324,5
1988_S_92,5
2012_S_79,5
1967_K_7,5
1997_U_33,5
1991_Y_2,5
2013_G_74,5
1982_U_8,5
1996_U_227,5
2010_V_45,5
1989_D_26,5
1978_V_5,5
2007_S_197,5
2019_1029_INSC,5
1996_S_642,5
2017_A_56,5
2017_J_48,4
2009_D_164,4
2004_R_137,4
2024_589_INSC,4
2006_S_740,4
2017_S_348,4
2000_N_28,4
2001_S_551,4
1996_U_253,4
2022_281_INSC,3
1965_R_36,3
2019_1156_INSC,3
2021_290_INSC,3
2002_P_42,3
1961_S_90,3
2024_226_INSC,3
2004_S_763,3
1978_G_1,2
1964_R_24,2
1962_S_93,2
2013_D_54,2
1971_L_9,2
2024_585_INSC,2
2019_1286_INSC,2
1964_R_32,2
1995_M_153,1
1987_A_73,1
2001_U_317,1
1965_S_8,1
2003_S_269,1
2006_U_23,1
1992_F_8,1
2012_P_6,1
2013_S_377,1
1985_U_19,1
2018_N_10,1
2021_164_INSC,1
1995_S_207,1
2015_D_48,1
2012_N_28,1
2011_A_39,1
1985_U_20,1
2017_S_666,1
2020_288_INSC,1
2000_S_511,1
1983_S_123,1
1973_J_15,1
1975_N_9,1
2010_A_10,1
2021_628_INSC,1
2007_M_26,1
1965_F_1,1
2017_S_145,1
1982_L_2,1
2000_R_154,0
1987_K_60,0
1999_B_106,0
2022_131_INSC,0
1993_U_114,0
2019_734_INSC,0
2014_S_354,0
2022_38_INSC,0
2007_S_449,0
1994_A_117,0
2011_M_75,0
2002_N_68,0
2024_504_INSC,0
2008_S_1360,0
1993_J_32,0
2009_S_144,0
2023_955_INSC,0
2017_K_69,0
2007_P_100,0
2021_253_INSC,0
2001_H_22,0
2003_J_81,0
2000_R_24,0
1996_M_162,0
2011_A_45,0
2020_200_INSC,0
1997_M_213,0
2019_856_INSC,0
